Year of arrival at port of disembarkation,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Total disembarked,Percent men,Percent women,Percent children,Captive deaths during crossing,Duration of captives' crossing (in days),"Voyage duration, homeport to disembarkation (in days)"
1848,Rio de Janeiro,"Bight of Benin, place unspecified",St. Helena,354,299,,,,55,29,
1848,Rio de Janeiro,,,,,,,,,,
1848,Rio de Janeiro,,,,,,,,,,
1848,"Bahia, place unspecified",,,,,,,,,,
1848,Rio de Janeiro,,,,,,,,,,
1848,Rio de Janeiro,Congo North,St. Helena,495,476,,,,19,,
1848,Rio de Janeiro,Congo North,St. Helena,275,194,,,,81,57,
1848,Rio de Janeiro,,,,,,,,,,
1848,Rio de Janeiro,,,,,,,,,,
1848,Rio de Janeiro,Congo North,St. Helena,250,188,,,,62,46,
1848,Rio de Janeiro,,,,,,,,,,
1848,Rio de Janeiro,,,,,,,,,,
1848,Rio de Janeiro,,,,,,,,,,
1848,Rio de Janeiro,,,,,,,,,,
1848,"Bahia, place unspecified",,,,,,,,,,
1848,Rio de Janeiro,,,,,,,,,,
1848,Rio de Janeiro,,,,,,,,,,
1848,Rio de Janeiro,,,,,,,,,,
1848,,,,,,,,,,,
1848,Rio de Janeiro,,,,,,,,,,
1848,,,,,,,,,,,
1848,Rio de Janeiro,,,,,,,,,,
1848,Rio de Janeiro,"West Central Africa and St. Helena, port unspecified",St. Helena,379,354,,,,25,26,
1848,Boston,Benguela,St. Helena,527,462,,,,65,34,
1848,Rio de Janeiro,,,,,,,,,,
1848,,,,,,,,,,,
1848,,,,,,,,,,,
1848,Rio de Janeiro,,,,,,,,,,
1848,Rio de Janeiro,Mayumba,St. Helena,29,26,,,,3,30,
1848,,,,,,,,,,,
1848,,Congo North,St. Helena,427,372,,,,55,47,
1848,Rio de Janeiro,,,,,,,,,,
1848,,,,,,,,,,,
1848,"Bahia, place unspecified",,,,,,,,,,
1848,,Congo River,St. Helena,12,7,,,,5,48,
1848,,,,,,,,,,,
1848,,,,,,,,,,,
1848,Rio de Janeiro,,,,,,,,,,
1848,"Bahia, place unspecified",,,,,,,,,,
1848,,,,,,,,,,,
1848,,,,,,,,,,,
1848,,"Bight of Benin, place unspecified",Freetown,303,299,,,,4,33,
1848,,,,,,,,,,,
1848,,,,,,,,,,,
1848,,,,,,,,,,,
1848,,,,,,,,,,,
1848,"Bahia, place unspecified",,,,,,,,,,
1848,Rio de Janeiro,,,,,,,,,,
1848,"Bahia, place unspecified","Whydah, Ouidah",Freetown,703,666,,,,37,40,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,717,650,,,,,,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,444,400,,,,,,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,683,600,,,,,,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,571,517,,,,,,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,476,400,,,,,,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,535,440,,,,,,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,497,450,,,,,,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,1247,990,,,,,,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,307,277,,,,,,
1848,Rio de Janeiro,Congo River,Rio de Janeiro,303,271,,,,,24,108
1848,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",726,650,,,,,,66
1848,"Bahia, place unspecified","Lagos, Onim","Bahia, place unspecified",243,230,,,,,,67
1848,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",380,340,,,,,,57
1848,"Southeast Brazil, port unspecified","Africa, port unspecified",Macaé,719,651,,,,,,
1848,"Bahia, place unspecified","Whydah, Ouidah","Bahia, place unspecified",467,420,,,,,,
1848,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",361,302,,,,59,,
1848,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",50,35,,,,15,50,
1848,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",478,430,,,,,,64
1848,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",190,180,,,,,,57
1848,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",511,456,,,,,,61
1848,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",240,217,,,,,,76
1848,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",313,280,,,,,,
1848,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",480,420,,,,60,,65
1848,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",556,500,,,,,,52
1848,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",386,350,,,,,,51
1848,"Bahia, place unspecified","Africa, port unspecified",Macaé,667,604,,,,,,64
1848,"Southeast Brazil, port unspecified","Africa, port unspecified",Rio São Jeso,481,430,,,,,,
1848,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",230,207,,,,,,156
1848,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",118,106,,,,,,62
1848,"Bahia, place unspecified","Africa, port unspecified",Rio São Jeso,490,444,,,,,,83
1848,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",311,280,,,,,,144
1848,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",628,569,,,,,,
1848,"Southeast Brazil, port unspecified","Africa, port unspecified",Rio São Jeso,411,369,,,,,,
1848,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",530,480,,,,,,51
1848,"Bahia, place unspecified",Gallinhas,"Bahia, place unspecified",352,317,,,,,,156
1848,"Bahia, place unspecified",Gallinhas,"Bahia, place unspecified",375,350,,,,25,,62
1848,"Bahia, place unspecified",,,,,,,,,,
1848,Rio de Janeiro,,,,,,,,,,
1848,"Bahia, place unspecified",,,,,,,,,,
1849,"Bahia, place unspecified",,,,,,,,,,
1849,,,,,,,,,,,
1848,"Brazil, place unspecified",,,,,,,,,,
1849,"Bahia, place unspecified",,,,,,,,,,
1849,,,,,,,,,,,
1849,,,,,,,,,,,
1848,Rio de Janeiro,,,,,,,,,,
1848,"Bahia, place unspecified",,,,,,,,,,
1848,Rio de Janeiro province,,,,,,,,,,
1849,"Bahia, place unspecified",,,,,,,,,,
1849,"Bahia, place unspecified",Ambriz,St. Helena,785,724,,,,61,32,
1849,,Ambriz,St. Helena,405,390,,,,15,34,
1849,,Ambriz,St. Helena,559,538,,,,21,27,
1849,Rio de Janeiro,,,,,,,,,,
1849,Rio de Janeiro,,,,,,,,,,
1849,Rio de Janeiro,,,,,,,,,,
1849,,Luanda,St. Helena,180,166,,,,14,21,
1849,,,,,,,,,,,
1849,"Bahia, place unspecified",,,,,,,,,,
1849,,"West Central Africa and St. Helena, port unspecified",St. Helena,334,281,,,,53,25,
1849,Rio de Janeiro,,,,,,,,,,
1849,Rio de Janeiro,,,,,,,,,,
1849,Rio de Janeiro,Congo River,St. Helena,597,558,,,,39,27,
1849,Rio de Janeiro,,,,,,,,,,
1849,Rio de Janeiro,,,,,,,,,,
1849,,,,,,,,,,,
1849,,,,,,,,,,,
1849,"Bahia, place unspecified",,,,,,,,,,
1849,"Bahia, place unspecified",,,,,,,,,,
1849,São Sebastião,,,,,,,,,,
1849,Rio de Janeiro,,,,,,,,,,
1849,,,,,,,,,,,
1849,,,,,,,,,,,
1849,"Bahia, place unspecified",,,,,,,,,,
1849,"Bahia, place unspecified",,,,,,,,,,
1849,Rio de Janeiro,,,,,,,,,,
1849,Rio de Janeiro,,,,,,,,,,
1849,Rio de Janeiro,,,,,,,,,,
1849,Rio de Janeiro,,,,,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",486,400,,,,,,
1850,Boston,Quilimane,Rio de Janeiro province,430,390,,,,,,
1850,Rio de Janeiro,Quilimane,Rio de Janeiro province,807,731,,,,,61,
1850,Santos,"Africa, port unspecified",Santos,603,500,,,,,,
1850,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",600,539,,,,,,
1843,Rio de Janeiro,,,,,,,,,51,
1843,"Bahia, place unspecified",,,,,,,,,,
1843,Rio de Janeiro,,,,,,,,,46,
1844,"Bahia, place unspecified",,,,,,,,,,
1844,Havana,,,,,,,,,45,
1844,Havana,,,,,,,,,,
1844,,,,,,,,,,,
1844,Rio de Janeiro,,,,,,,,,,
1844,Rio de Janeiro,Benguela,Rio de Janeiro,490,444,,,,,22,
1844,"Pernambuco, place unspecified","Africa, port unspecified",Porto de Galinhas,350,130,,,,220,,
1844,"Bahia, place unspecified","Lagos, Onim","Bahia, place unspecified",144,130,,,,,,106
1844,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",589,530,,,,,,73
1844,"Bahia, place unspecified","Lagos, Onim","Bahia, place unspecified",211,190,,,,,,92
1844,"Bahia, place unspecified","Lagos, Onim","Bahia, place unspecified",118,106,,,,,,
1844,"Bahia, place unspecified","Lagos, Onim","Bahia, place unspecified",111,100,,,,,,
1844,"Bahia, place unspecified","Lagos, Onim","Bahia, place unspecified",559,500,,,,,,
1844,"Bahia, place unspecified","Lagos, Onim","Bahia, place unspecified",308,277,,,,,,
1844,"Bahia, place unspecified","Lagos, Onim","Bahia, place unspecified",467,420,,,,,28,
1844,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",644,580,,,,,46,96
1844,"Bahia, place unspecified","Lagos, Onim","Bahia, place unspecified",630,610,,,,20,33,118
1844,"Bahia, place unspecified","Lagos, Onim","Bahia, place unspecified",250,225,,,,,29,99
1844,"Bahia, place unspecified","Lagos, Onim","Bahia, place unspecified",447,400,,,,,29,116
1844,Barcelona,"Africa, port unspecified","Bahia, place unspecified",476,450,,,,,,
1844,Rio de Janeiro,,,,,,,,,,
1820,,,,,,,,,,,
1844,,,,,,,,,,,
1844,,,,,,,,,,,
1845,"Africa, port unspecified",Novo Redondo,"Pernambuco, place unspecified",92,92,,,,0,33,
1844,Trinidad de Cuba,,,,,,,,,,
1844,Havana,,,,,,,,,,
1844,Trinidad de Cuba,,,,,,,,,17,
1844,Havana,,,,,,,,,28,
1844,"Spain, place unspecified",,,,,,,,,18,
1844,Cabanas,,,,,,,,,,
1844,Vitória,,,,,,,,,29,
1844,Vitória,,,,,,,,,29,
1844,,Quicombo,Freetown,403,374,,,,29,32,
1844,Rio São Francisco,,,,,,,,,23,
1844,Rio de Janeiro,,,,,,,,,132,
1844,"Bahia, place unspecified",,,,,,,,,22,
1844,,"Africa, port unspecified",Trinidad de Cuba,331,300,,,,,,
1844,,"Africa, port unspecified",Trinidad de Cuba,972,800,,,,,,
1844,"Cuba, port unspecified","Africa, port unspecified",Bahia Honda,1147,1114,,,,33,,
1844,,"Africa, port unspecified","Cuba, port unspecified",389,350,,,,,,
1844,,"Africa, port unspecified",Havana,608,500,,,,,,
1844,,"Africa, port unspecified","Cuba, port unspecified",316,260,,,,,,
1844,Havana,"Africa, port unspecified",Guanimar,853,750,,,,,,134
1844,,"Africa, port unspecified","Cuba, port unspecified",329,311,,,,,,
1844,,"Africa, port unspecified",Matanzas,307,277,,,,,,
1844,,"Africa, port unspecified",Cabanas,447,400,,,,,,
1844,,"Africa, port unspecified",Matanzas,442,400,,,,,,
1844,"Cuba, port unspecified","Africa, port unspecified",Trinidad de Cuba,78,70,,,,,,
1844,,"Africa, port unspecified",Bahia Honda,442,400,,,,,,
1844,,"Africa, port unspecified",Cabanas,307,277,,,,,,
1844,,"Africa, port unspecified",Mariel,444,400,,,,,,
1844,"Cuba, port unspecified","Lagos, Onim","Cuba, port unspecified",662,600,,,,,,
1844,Havana,Congo River,"Cuba, port unspecified",326,293,,,,,,185
1844,,"Africa, port unspecified",Cabanas,222,200,,,,,,
1844,Matanzas,"Africa, port unspecified",Guanimar,304,250,,,,,,
1844,,"Africa, port unspecified",Trinidad de Cuba,334,300,,,,,,
1844,"Southeast Brazil, port unspecified",Quilimane,Cabo Frio,630,400,,,,230,,
1844,"Southeast Brazil, port unspecified",Quilimane,Rio de Janeiro province,335,300,,,,,,
1844,"Southeast Brazil, port unspecified",Quilimane,Rio de Janeiro province,72,65,,,,,,
1844,"Southeast Brazil, port unspecified",Benguela,Macaé,118,105,,,,,,
1844,"Southeast Brazil, port unspecified",Ambriz,Campos,98,90,,,,,,
1844,Rio de Janeiro,"Africa, port unspecified",Campos,284,260,,,,,,
1844,Rio de Janeiro,Cabinda,Campos,314,280,,,,,,
1844,Rio de Janeiro,"West Central Africa and St. Helena, port unspecified",Macaé,306,280,,,,,,
1844,"Southeast Brazil, port unspecified",Gabon,São Sebastião,556,500,,,,,,
1844,Rio de Janeiro,"West Central Africa and St. Helena, port unspecified",Ponta Negro,333,300,,,,,,
1844,"Southeast Brazil, port unspecified",Benguela,Macaé,500,450,,,,,,
1844,"Southeast Brazil, port unspecified",Luanda,Maricá,400,360,,,,,,
1844,"Southeast Brazil, port unspecified",Gabon,Cabo Frio,442,400,,,,,,
1844,,Benguela,Cape of Good Hope,650,574,,,,76,,
1844,,Benguela,Cape of Good Hope,325,273,,,,52,,
1844,,Benguela,St. Helena,247,222,,,,,24,
1844,,Benguela,Cape of Good Hope,247,221,,,,,,
1844,,,,,,,,,,,
1844,Luanda,,,,,,,,,,
1844,,,,,,,,,,,
1844,,,,,,,,,,,
1845,Rio de Janeiro,Mozambique,Cape of Good Hope,7,5,,,,2,,
1845,Rio de Janeiro,,,,,,,,,,
1845,,,,,,,,,,,
1845,,,,,,,,,,,
1845,,,,,,,,,,,
1845,,,,,,,,,,,
1845,Vitória,,,,,,,,,,
1845,Rio de Janeiro,,,,,,,,,,
1846,Rio de Janeiro,,,,,,,,,,
1846,Rio de Janeiro,,,,,,,,,,
1846,Rio de Janeiro,,,,,,,,,,
1846,Rio de Janeiro,,,,,,,,,,
1847,Rio de Janeiro,,,,,,,,,,
1848,Rio de Janeiro,,,,,,,,,,
1849,"Bahia, place unspecified",Porto Novo,"Bahia, place unspecified",86,72,,,,,32,
1849,"Bahia, place unspecified",Gallinhas,"Bahia, place unspecified",795,720,,,,,,52
1849,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",464,420,,,,,,58
1849,"Bahia, place unspecified","Lagos, Onim","Bahia, place unspecified",500,410,,,,90,,68
1849,"Bahia, place unspecified","Lagos, Onim","Bahia, place unspecified",895,800,,,,,,59
1849,"Bahia, place unspecified","Lagos, Onim","Bahia, place unspecified",345,308,,,,,,56
1849,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",278,250,,,,,,78
1849,"Bahia, place unspecified",Porto Novo,"Bahia, place unspecified",307,277,,,,,38,
1849,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",167,150,,,,,,74
1849,"Bahia, place unspecified","Lagos, Onim","Bahia, place unspecified",442,418,,,,,,66
1849,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",640,580,,,,,,62
1849,"Bahia, place unspecified","Lagos, Onim","Bahia, place unspecified",444,400,,,,,,51
1849,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",380,180,,,,200,,40
1849,"Bahia, place unspecified","Lagos, Onim","Bahia, place unspecified",497,450,,,,,27,
1849,"Bahia, place unspecified","Lagos, Onim","Bahia, place unspecified",423,400,,,,,,50
1849,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",167,150,,,,,,135
1849,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",333,300,,,,,,
1849,"Bahia, place unspecified","Lagos, Onim","Bahia, place unspecified",567,510,,,,,,53
1849,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",307,277,,,,,,
1849,"Bahia, place unspecified",Porto Novo,"Bahia, place unspecified",208,190,,,,,24,
1849,"Bahia, place unspecified","Lagos, Onim","Bahia, place unspecified",437,413,,,,,,68
1849,"Bahia, place unspecified","Lagos, Onim","Bahia, place unspecified",497,450,,,,,,58
1849,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",211,190,,,,,,74
1849,"Bahia, place unspecified","Africa, port unspecified","Bahia, place unspecified",580,500,,,,80,,
1848,Rio de Janeiro,Ambriz,"Rio de Janeiro, Sao Paulo, Santa Catarina",1574,1250,,,,,,
1848,"Southeast Brazil, port unspecified","Africa, port unspecified",Rio de Janeiro,1159,1050,,,,,,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,656,590,,,,,,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,500,450,,,,,,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,400,360,,,,,,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,662,600,,,,,,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,1519,1250,,,,,,
1848,"Southeast Brazil, port unspecified","Africa, port unspecified",Rio de Janeiro,311,280,,,,,,
1848,"Southeast Brazil, port unspecified","Africa, port unspecified",Rio de Janeiro,475,430,,,,,,
1848,"Southeast Brazil, port unspecified","Africa, port unspecified",Rio de Janeiro,717,650,,,,,,
1848,"Southeast Brazil, port unspecified","Africa, port unspecified",Rio de Janeiro,389,350,,,,,,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,233,210,,,,,,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,500,450,,,,,,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,356,320,,,,,,
1848,"Southeast Brazil, port unspecified","Africa, port unspecified",Rio de Janeiro,422,380,,,,,,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,389,350,,,,,,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,1026,930,,,,,,
1848,"Southeast Brazil, port unspecified","Africa, port unspecified",Rio de Janeiro,556,500,,,,,,
1848,"Southeast Brazil, port unspecified","Africa, port unspecified",Rio de Janeiro,77,70,,,,,,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,662,600,,,,,,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,372,340,,,,,,
1848,Le Havre,Ambriz,Rio de Janeiro,993,900,,,,,,
1848,"Southeast Brazil, port unspecified","Africa, port unspecified",Rio de Janeiro,441,350,,,,,,
1848,Rio de Janeiro,Ambriz,Cabo Frio,1150,1110,,,,40,,
1848,"Southeast Brazil, port unspecified","Africa, port unspecified",Rio de Janeiro,434,390,,,,,,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,278,250,,,,,,
1848,"Southeast Brazil, port unspecified","Africa, port unspecified",Rio de Janeiro,717,650,,,,,,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,773,700,,,,,,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,389,350,,,,,,
1848,"Southeast Brazil, port unspecified","Africa, port unspecified",Rio de Janeiro,254,240,,,,,,
1848,"Southeast Brazil, port unspecified","Africa, port unspecified",Rio de Janeiro,773,700,,,,,,
1848,"Southeast Brazil, port unspecified","Africa, port unspecified",Rio de Janeiro,400,360,,,,,,
1848,"Southeast Brazil, port unspecified","Africa, port unspecified",Rio de Janeiro,600,540,,,,,,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,489,423,,,,,,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,714,600,,,,,,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,719,651,,,,,,
1848,Rio de Janeiro,"West Central Africa and St. Helena, port unspecified",Rio de Janeiro,481,430,,,,,,
1848,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro,673,558,,,,,,
1849,,,,,,,,,,,
1850,"Bahia, place unspecified",,,,,,,,,,
1850,"Bahia, place unspecified",,,,,,,,,,
1850,"Bahia, place unspecified",,,,,,,,,,
1850,"Bahia, place unspecified",,,,,,,,,,
1849,Luanda,Ambriz,St. Helena,439,428,,,,11,,
1849,,,,,,,,,,,
1849,,,,,,,,,,,
1849,,,,,,,,,,,
1849,,,,,,,,,,,
1849,Rio de Janeiro,,,,,,,,,,
1850,Vitória,,,,,,,,,,
1850,Rio de Janeiro,,,,,,,,,,
1850,,Novo Redondo,St. Helena,455,436,,,,19,,
1849,,,,,,,,,,,
1850,,,,,,,,,,,
1850,Rio de Janeiro,,,,,,,,,,
1850,Rio de Janeiro,"Africa, port unspecified",São Sebastião,751,680,,,,,,
1850,Rio de Janeiro,,,,,,,,,,
1850,Rio de Janeiro,Ambriz,St. Helena,537,524,,,,13,,
1850,Santos,,,,,,,,,,
1850,"Bahia, place unspecified",,,,,,,,,,
1850,Rio de Janeiro,Benguela,St. Helena,862,831,,,,31,,
1850,,,,,,,,,,,
1850,,,,,,,,,,,
1850,,,,,,,,,,,
1850,,,,,,,,,,,
1850,Santa Catarina,Ambriz,,,,,,,,,
1850,"Bahia, place unspecified",,,,,,,,,,
1850,"Bahia, place unspecified",,,,,,,,,,
1850,Rio de Janeiro,,,,,,,,,,
1850,Rio de Janeiro,,,,,,,,,,
1850,"Bahia, place unspecified",,,,,,,,,,
1850,,,,,,,,,,,
1850,Macaé,,,,,,,,,,
1850,Rio de Janeiro,,,,,,,,,,
1850,"Bahia, place unspecified",,,,,,,,,,
1850,,,,,,,,,,,
1850,"Bahia, place unspecified",,,,,,,,,,
1850,"Africa, port unspecified",Benguela,St. Helena,182,174,,,,8,,
1850,,,,,,,,,,,
1850,"Bahia, place unspecified",,,,,,,,,,
1850,"Bahia, place unspecified",,,,,,,,,,
1850,"Bahia, place unspecified",,,,,,,,,,
1850,Santos,,,,,,,,,,
1850,Rio de Janeiro,,,,,,,,,,
1850,,,,,,,,,,,
1850,,,,,,,,,,,
1850,Santos,,,,,,,,,,
1850,Paranaguá,,,,,,,,,,
1850,Paranaguá,,,,,,,,,,
1850,Paranaguá,,,,,,,,,,
1850,Paranaguá,,,,,,,,,,
1850,Luanda,Loango,St. Helena,687,560,,,,127,,
1850,Rio de Janeiro,Ambriz,Ilha Grande,883,800,,,,,,
1850,Rio de Janeiro,,,,,,,,,,
1850,Rio de Janeiro,,,,,,,,,,
1850,Paranaguá,,,,,,,,,,
1850,Vitória,,,,,,,,,,
1850,Macaé,,,,,,,,,,
1850,"Bahia, place unspecified",,,,,,,,,,
1850,"Bahia, place unspecified",,,,,,,,,,
1850,"Bahia, place unspecified",,,,,,,,,,
1850,Vitória,,,,,,,,,,
1850,Lisbon,Luanda,St. Helena,623,597,,,,26,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",365,300,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",883,800,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",547,450,,,,,,
1849,"Southeast Brazil, port unspecified","Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",444,400,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",1130,930,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",547,450,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",790,650,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",365,300,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",328,310,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",608,500,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",533,480,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",889,800,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",1094,900,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",972,800,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",784,650,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",972,800,,,,,,
1849,"Brazil, place unspecified","Africa, port unspecified",Ilha Grande,1033,850,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",1094,900,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",365,300,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",667,600,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro province,817,740,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",608,500,,,,,,
1849,"Brazil, place unspecified","Africa, port unspecified",Campos,972,800,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified",Rio de Janeiro province,817,740,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",972,800,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified",Ilha Grande,607,550,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",1034,851,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",844,700,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",965,800,,,,,,
1849,Rio de Janeiro,Benguela,Rio de Janeiro province,800,353,,,,447,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",667,600,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",753,682,,,,,,
1849,Rio de Janeiro,Congo River,Rio de Janeiro province,707,600,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",802,722,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",620,510,,,,,,
1849,"Bahia, place unspecified","Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",591,535,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",533,480,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",425,350,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",608,500,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",656,540,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",425,350,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",219,180,,,,,,
1849,"Southeast Brazil, port unspecified",Benguela,"Rio de Janeiro, Sao Paulo, Santa Catarina",498,450,,,,,,
1849,Rio de Janeiro,"Africa, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",790,650,,,,,,
