Year of arrival at port of disembarkation,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Total disembarked,Percent men,Percent women,Percent children,Captive deaths during crossing,Duration of captives' crossing (in days),"Voyage duration, homeport to disembarkation (in days)"
1793,Bristol,New Calabar,Kingston,350,314,"0,46857","0,53143",0,36,73,254
1793,Bristol,Bonny,Montego Bay,416,372,"0,52022","0,47978",0,44,71,210
1794,Bristol,Bonny,"St. Vincent, port unspecified",413,398,"0,53518","0,46482",0,15,73,202
1716,Dunkerque,"Whydah, Ouidah",Cap Français,270,242,"0,64646","0,35354",0,28,108,386
1716,Honfleur,"Africa, port unspecified",Cap Français,270,257,"0,57198","0,42802",0,13,35,149
1715,Nantes,Calabar,Léogane,110,80,"0,725","0,275",0,30,73,163
1754,Nantes,Badagry/Apa,,338,,"0,49505","0,50495",0,,,
1770,Nantes,Badagry/Apa,Saint-Marc,350,315,"0,53333","0,46667",0,35,136,387
1771,Nantes,Badagry/Apa,Saint-Marc,360,314,"0,52229","0,47771",0,46,125,308
1806,Rio de Janeiro,Luanda,Rio de Janeiro,511,491,,,"0,00204",20,41,446
1797,Liverpool,Bonny,Kingston,524,480,"0,53571","0,46218","0,0021",,,238
1797,Liverpool,Bonny,Kingston,495,473,"0,59197","0,40592","0,00211",22,,197
1794,Lisbon,Luanda,Rio de Janeiro,437,400,,,"0,00229",,,
1794,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,433,410,,,"0,00231",,,
1794,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,433,410,,,"0,00231",,,
1775,"Bahia, place unspecified",Luanda,"Bahia, place unspecified",425,423,,,"0,00235",,37,
1794,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,415,380,,,"0,00241",,,
1797,Liverpool,Bonny,Kingston,420,414,"0,57971","0,41787","0,00242",6,66,164
1767,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,403,377,,,"0,00248",,,
1758,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,386,361,,,"0,00259",,,
1794,Rio de Janeiro,Luanda,Rio de Janeiro,376,356,,,"0,00266",,,
1766,"Bahia, place unspecified",Luanda,Rio de Janeiro,371,347,,,"0,0027",,,
1775,"Southeast Brazil, port unspecified",Benguela,Rio de Janeiro,371,347,,,"0,0027",,,
1758,"Pernambuco, place unspecified",Luanda,"Pernambuco, place unspecified",359,336,,,"0,00279",,,
1775,"Southeast Brazil, port unspecified",Benguela,Rio de Janeiro,353,316,,,"0,00283",,,
1727,"Bahia, place unspecified",Luanda,"Bahia, place unspecified",700,607,,,"0,00286533",,,
1728,"Bahia, place unspecified",Luanda,"Bahia, place unspecified",700,816,,,"0,00286533",,121,
1799,Lisbon,Luanda,Pará,663,628,,,"0,003025719",35,24,391
1806,Rio de Janeiro,Luanda,Rio de Janeiro,345,324,,,"0,0031",21,40,418
1767,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,322,285,,,"0,00311",,,
1775,"Bahia, place unspecified",Luanda,"Bahia, place unspecified",317,307,,,"0,00315",,37,
1806,Rio de Janeiro,Luanda,Rio de Janeiro,316,290,,,"0,00316",26,,253
1775,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,316,295,,,"0,00316",,,
1758,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,315,295,,,"0,00317",,,
1805,Rio de Janeiro,Luanda,Rio de Janeiro,371,314,,,"0,00319",57,39,219
1763,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,309,289,,,"0,00324",,,
1807,"Bahia, place unspecified",Luanda,"Bahia, place unspecified",369,360,,,"0,00331",9,23,
1726,"Bahia, place unspecified",Luanda,"Bahia, place unspecified",606,507,,,"0,003311258",,,
1767,Oporto,Luanda,Rio de Janeiro,295,270,,,"0,00339",,,
1769,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,290,257,,,"0,00345",,,
1763,"Bahia, place unspecified",Luanda,"Bahia, place unspecified",279,247,,,"0,00358",,,
1792,Liverpool,Bonny,"Jamaica, place unspecified",488,276,"0,7029","0,29348","0,00362",,,276
1707,Texel,"Whydah, Ouidah",Curaçao,536,428,"0,66604","0,33022","0,00373",,99,310
1764,"Bahia, place unspecified",Luanda,Rio de Janeiro,512,479,,,"0,00391",,,
1803,Rio de Janeiro,Luanda,Rio de Janeiro,522,509,,,"0,00391",13,46,
1802,,"Africa, port unspecified",Buenos Aires,253,237,"0,77637","0,21941","0,00422",,,
1775,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,465,435,,,"0,0043",,,
1727,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,462,401,,,"0,004347826",,,
1767,Rio de Janeiro,Luanda,"Bahia, place unspecified",229,195,,,"0,00437",34,37,
1796,Liverpool,Bonny,Kingston,460,457,"0,59737","0,39825","0,00438",3,66,159
1762,Rio de Janeiro,Luanda,Rio de Janeiro,227,212,,,"0,00441",,,
1805,Rio de Janeiro,Luanda,Maranhão,874,780,,,"0,00458",,,
1719,"Bahia, place unspecified",Elmina,"Bahia, place unspecified",218,193,"0,90367","0,09174","0,00459",,,
1797,Liverpool,Bonny,Kingston,417,411,"0,59367","0,40146","0,00487",,,169
1767,"Pernambuco, place unspecified",Luanda,"Pernambuco, place unspecified",403,377,,,"0,00496",,,
1748,"Bahia, place unspecified",Luanda,Rio de Janeiro,201,182,,,"0,00498",,,
1727,"Bahia, place unspecified",Luanda,"Bahia, place unspecified",400,335,,,"0,005025126",,,
1793,Liverpool,Porto Novo,"St. Vincent, port unspecified",206,198,"0,64646","0,34848","0,00505",8,69,229
1767,Rio de Janeiro,Luanda,Rio de Janeiro,388,343,,,"0,00515",,,
1748,,Luanda,Colonia de Sacramento,386,335,,,"0,00518",,,
1707,Hellevoetsluis,"Whydah, Ouidah",Curaçao,558,439,"0,67384","0,32079","0,00538",119,119,
1775,"Bahia, place unspecified",Luanda,"Bahia, place unspecified",371,359,,,"0,00539",,35,
1789,Liverpool,Sierra Leone estuary,"Grenada, place unspecified",198,181,"0,63536","0,35912","0,00552",,42,237
1762,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,359,318,,,"0,00557",,,
1742,Rio de Janeiro,Luanda,Rio de Janeiro,529,443,,,"0,00567",,,
1765,Lisbon,Bissau,Maranhão,176,167,"0,99432",0,"0,00568",,,
1775,"Southeast Brazil, port unspecified",Benguela,Rio de Janeiro,509,476,,,"0,00589",,,
1796,Liverpool,Ambriz,Kingston,449,328,"0,58841","0,40549","0,0061",,67,290
1703,,"West Central Africa and St. Helena, port unspecified",Buenos Aires,178,163,"0,5705522","0,42331287","0,006134969",,,
1805,Rio de Janeiro,Luanda,Rio de Janeiro,487,447,,,"0,006198347",40,52,
1767,"Bahia, place unspecified",Luanda,"Bahia, place unspecified",320,302,,,"0,00625",18,30,217
1749,"Pernambuco, place unspecified",Luanda,"Pernambuco, place unspecified",319,277,,,"0,00627",,,
1762,Lisbon,Luanda,"Bahia, place unspecified",314,294,,,"0,00637",,,
1758,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,463,416,,,"0,00648",,,
1708,Texel,"Whydah, Ouidah",Curaçao,613,463,"0,68189234","0,3115824","0,006525285",132,116,307
1769,Lisbon,Luanda,Rio de Janeiro,301,269,,,"0,00664",,,
1789,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Kingston,328,300,"0,55","0,44333","0,00667",,,133
1749,"Pernambuco, place unspecified",Luanda,"Bahia, place unspecified",449,367,,,"0,00668",82,32,
1727,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,300,275,,,"0,006711409",,,
1792,Havana,"Gold Coast, port unspecified",Kingston,130,148,"0,66216","0,33108","0,00676",,55,
1731,"Bahia, place unspecified",Luanda,"Bahia, place unspecified",887,828,,,"0,006810443",59,38,
1748,"Pernambuco, place unspecified",Luanda,"Pernambuco, place unspecified",287,260,,,"0,00697",,,
1766,"Bahia, place unspecified",Luanda,Rio de Janeiro,427,399,,,"0,00703",,,
1763,Rio de Janeiro,Luanda,Rio de Janeiro,422,395,,,"0,00711",,,
1748,"Pernambuco, place unspecified",Luanda,"Pernambuco, place unspecified",419,363,,,"0,00716",,,
1726,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,840,728,,,"0,007194245",,,
1767,"Southeast Brazil, port unspecified","Costa da Mina, place unspecified",Rio de Janeiro,308,275,,,"0,00722",,,
1807,"Bahia, place unspecified","West Central Africa and St. Helena, port unspecified","Bahia, place unspecified",616,409,,,"0,00737",207,78,
1695,London,Sherbro,Newcastle (Nevis),133,131,"0,74046","0,25191","0,00763",2,52,355
1741,"Southeast Brazil, port unspecified",Benguela,Rio de Janeiro,258,233,,,"0,00775",,,
1758,Lisbon,Luanda,Rio de Janeiro,637,569,,,"0,007849294",,,
1771,Nantes,"Gold Coast, Fr. definition",Port-au-Prince,261,250,"0,608","0,384","0,008",11,94,241
1758,Rio de Janeiro,Luanda,Rio de Janeiro,478,430,,,"0,00837",,,
1740,Rio de Janeiro,Luanda,Rio de Janeiro,239,214,,,"0,00837",,,
